2048	8	4.73	211.59
2176	8	7.08	141.23
2304	8	4.22	236.77
2432	8	6.35	157.55
2560	8	5.28	189.26
2688	8	8.72	114.68
2816	8	6.49	154.02
2944	8	9.17	109.07
3072	8	7.43	134.66
3200	8	10.42	95.94
3328	8	10.01	99.88
3456	8	7.98	125.36
3584	8	8.73	114.52
3712	8	13.42	74.54
3840	8	10.70	93.44
3968	8	8.63	115.83
4096	8	11.51	86.91
4224	8	15.28	65.46
4352	8	12.55	79.68
4480	8	14.56	68.70
4608	8	10.67	93.70
4736	8	13.62	73.44
4864	8	13.12	76.19
4992	8	20.27	49.33
5120	8	13.53	73.92
5248	8	13.11	76.30
5376	8	19.45	51.42
5504	8	15.90	62.90
5632	8	15.37	65.06
5760	8	16.74	59.72
5888	8	18.57	53.85
6016	8	20.50	48.77
6144	8	16.97	58.92
6272	8	20.05	49.87
6400	8	23.84	41.95
6528	8	17.33	57.70
6656	8	20.27	49.34
6784	8	18.02	55.50
6912	8	19.11	52.34
7040	8	25.30	39.53
7168	8	23.24	43.02
7296	8	28.02	35.68
7424	8	25.97	38.50
7552	8	16.54	60.44
7680	8	28.80	34.72
7808	8	23.60	42.37
7936	8	20.25	49.39
8064	8	29.16	34.30
8192	8	27.59	36.24
128	12	0.13	7967.17
256	12	0.20	4891.58
384	12	1.03	967.84
512	12	1.03	970.82
640	12	1.18	847.79
768	12	2.08	481.75
896	12	0.74	1357.81
1024	12	2.91	343.82
1152	12	2.13	469.85
1280	12	2.78	359.33
1408	12	3.53	283.59
1536	12	4.62	216.32
1664	12	6.41	155.98
1792	12	8.46	118.15
1920	12	5.79	172.68
2048	12	7.65	130.75
2176	12	9.13	109.53
2304	12	11.59	86.25
2432	12	6.93	144.22
2560	12	6.43	155.50
2688	12	8.31	120.28
2816	12	8.05	124.28
2944	12	8.47	118.09
3072	12	9.84	101.63
3200	12	9.72	102.92
3328	12	14.32	69.81
3456	12	15.10	66.22
3584	12	15.69	63.74
3712	12	18.27	54.73
